"";"cut";"color"
"2712";"Fair";"D"
"2713";"Very Good";"G"
"2714";"Ideal";"G"
"2715";"Ideal";"H"
"2716";"Ideal";"H"
"2717";"Ideal";"E"
"2718";"Ideal";"E"
"2719";"Good";"E"
"2720";"Good";"D"
"2721";"Ideal";"E"
"2722";"Very Good";"E"
"2723";"Very Good";"E"
"2724";"Very Good";"E"
"2725";"Good";"F"
"2726";"Ideal";"G"
"2727";"Ideal";"E"
"2728";"Ideal";"E"
"2729";"Ideal";"D"
"2730";"Ideal";"D"
"2731";"Good";"G"
"2732";"Premium";"I"
"2733";"Ideal";"F"
"2734";"Very Good";"F"
"2735";"Very Good";"D"
"2736";"Ideal";"G"
"2737";"Ideal";"E"
"2738";"Ideal";"E"
"2739";"Ideal";"D"
"2740";"Ideal";"D"
"2741";"Ideal";"F"
"2742";"Ideal";"F"
"2743";"Ideal";"F"
"2744";"Ideal";"G"
"2745";"Ideal";"E"
"2746";"Fair";"H"
"2747";"Very Good";"H"
"2748";"Ideal";"E"
"2749";"Good";"E"
"2750";"Ideal";"H"
"2751";"Ideal";"F"
"2752";"Good";"G"
"2753";"Good";"H"
"2754";"Very Good";"H"
"2755";"Very Good";"H"
"2756";"Premium";"F"
"2757";"Good";"E"
"2758";"Fair";"G"
"2759";"Good";"G"
"2760";"Premium";"J"
"2761";"Premium";"D"
"2762";"Very Good";"I"
"2763";"Ideal";"G"
"2764";"Ideal";"E"
"2765";"Ideal";"F"
"2766";"Ideal";"I"
"2767";"Ideal";"I"
"2768";"Premium";"I"
"2769";"Ideal";"D"
"2770";"Ideal";"D"
"2771";"Very Good";"F"
"2772";"Ideal";"G"
"2773";"Ideal";"G"
"2774";"Ideal";"G"
"2775";"Ideal";"G"
"2776";"Good";"G"
"2777";"Good";"D"
"2778";"Ideal";"F"
"2779";"Ideal";"G"
"2780";"Ideal";"H"
"2781";"Ideal";"H"
"2782";"Very Good";"H"
"2783";"Ideal";"J"
"2784";"Ideal";"D"
"2785";"Very Good";"G"
"2786";"Ideal";"J"
"2787";"Ideal";"E"
"2788";"Ideal";"F"
"2789";"Ideal";"H"
"2790";"Ideal";"H"
"2791";"Very Good";"J"
"2792";"Very Good";"D"
"2793";"Fair";"I"
"2794";"Ideal";"F"
"2795";"Good";"F"
"2796";"Very Good";"E"
"2797";"Premium";"E"
"2798";"Very Good";"F"
"2799";"Very Good";"E"
"2800";"Ideal";"F"
"2801";"Good";"H"
"2802";"Premium";"H"
"2803";"Very Good";"D"
"2804";"Ideal";"D"
"2805";"Premium";"G"
"2806";"Ideal";"E"
"2807";"Premium";"H"
"2808";"Very Good";"F"
"2809";"Ideal";"I"
"2810";"Ideal";"I"
"2811";"Ideal";"F"
"2812";"Premium";"E"
"2813";"Very Good";"F"
"2814";"Good";"F"
"2815";"Ideal";"F"
"2816";"Ideal";"D"
"2817";"Fair";"I"
"2818";"Very Good";"I"
"2819";"Good";"J"
"2820";"Fair";"F"
"2821";"Fair";"F"
"2822";"Ideal";"F"
"2823";"Premium";"H"
"2824";"Premium";"D"
"2825";"Premium";"J"
"2826";"Premium";"G"
"2827";"Good";"F"
"2828";"Good";"F"
"2829";"Good";"F"
"2830";"Good";"F"
"2831";"Ideal";"J"
"2832";"Good";"D"
"2833";"Very Good";"F"
"2834";"Very Good";"F"
"2835";"Ideal";"I"
"2836";"Ideal";"G"
"2837";"Very Good";"F"
"2838";"Ideal";"E"
"2839";"Premium";"J"
"2840";"Good";"G"
"2841";"Very Good";"F"
"2842";"Very Good";"E"
"2843";"Very Good";"F"
"2844";"Premium";"E"
"2845";"Ideal";"D"
"2846";"Ideal";"G"
"2847";"Ideal";"E"
"2848";"Ideal";"D"
"2849";"Very Good";"I"
"2850";"Premium";"I"
"2851";"Ideal";"G"
"2852";"Ideal";"E"
"2853";"Very Good";"H"
"2854";"Ideal";"G"
"2855";"Good";"E"
"2856";"Good";"E"
"2857";"Very Good";"I"
"2858";"Good";"E"
"2859";"Ideal";"H"
"2860";"Ideal";"H"
"2861";"Ideal";"H"
"2862";"Very Good";"F"
"2863";"Ideal";"J"
"2864";"Ideal";"E"
"2865";"Ideal";"D"
"2866";"Ideal";"E"
"2867";"Very Good";"G"
"2868";"Premium";"I"
"2869";"Very Good";"G"
"2870";"Very Good";"H"
"2871";"Very Good";"I"
"2872";"Premium";"I"
"2873";"Very Good";"I"
"2874";"Fair";"E"
"2875";"Premium";"J"
"2876";"Ideal";"E"
"2877";"Ideal";"I"
"2878";"Ideal";"E"
"2879";"Good";"E"
"2880";"Good";"D"
"2881";"Ideal";"D"
"2882";"Very Good";"E"
"2883";"Fair";"H"
"2884";"Ideal";"G"
"2885";"Fair";"I"
"2886";"Very Good";"G"
"2887";"Ideal";"F"
"2888";"Ideal";"J"
"2889";"Very Good";"E"
"2890";"Good";"H"
"2891";"Fair";"H"
"2892";"Premium";"I"
"2893";"Very Good";"G"
"2894";"Fair";"F"
"2895";"Good";"F"
"2896";"Good";"G"
"2897";"Very Good";"G"
"2898";"Fair";"F"
"2899";"Premium";"F"
"2900";"Premium";"F"
"2901";"Very Good";"F"
"2902";"Ideal";"I"
"2903";"Ideal";"E"
"2904";"Ideal";"E"
"2905";"Ideal";"H"
"2906";"Good";"F"
"2907";"Good";"G"
"2908";"Ideal";"D"
"2909";"Ideal";"F"
"2910";"Ideal";"D"
"2911";"Good";"E"
"2912";"Premium";"E"
"2913";"Premium";"F"
"2914";"Fair";"H"
"2915";"Premium";"F"
"2916";"Good";"J"
"2917";"Very Good";"I"
"2918";"Good";"G"
"2919";"Very Good";"G"
"2920";"Ideal";"H"
"2921";"Ideal";"D"
"2922";"Ideal";"D"
"2923";"Good";"I"
"2924";"Premium";"I"
"2925";"Very Good";"G"
"2926";"Very Good";"G"
"2927";"Fair";"I"
"2928";"Very Good";"H"
"2929";"Very Good";"J"
"2930";"Good";"H"
"2931";"Ideal";"F"
"2932";"Ideal";"H"
"2933";"Ideal";"H"
"2934";"Good";"J"
"2935";"Fair";"I"
"2936";"Premium";"E"
"2937";"Good";"E"
"2938";"Premium";"D"
"2939";"Premium";"I"
"2940";"Premium";"I"
"2941";"Very Good";"G"
"2942";"Very Good";"J"
"2943";"Very Good";"E"
"2944";"Very Good";"J"
"2945";"Ideal";"F"
"2946";"Premium";"E"
"2947";"Premium";"J"
"2948";"Ideal";"D"
"2949";"Fair";"E"
"2950";"Ideal";"F"
"2951";"Premium";"E"
"2952";"Premium";"D"
"2953";"Very Good";"H"
"2954";"Very Good";"E"
"2955";"Very Good";"E"
"2956";"Ideal";"G"
"2957";"Premium";"E"
"2958";"Premium";"J"
"2959";"Ideal";"H"
"2960";"Fair";"D"
"2961";"Very Good";"H"
"2962";"Ideal";"J"
"2963";"Premium";"G"
"2964";"Ideal";"E"
"2965";"Premium";"E"
"2966";"Premium";"F"
"2967";"Good";"J"
"2968";"Very Good";"D"
"2969";"Good";"D"
"2970";"Very Good";"D"
"2971";"Ideal";"I"
"2972";"Very Good";"J"
"2973";"Very Good";"I"
"2974";"Ideal";"F"
"2975";"Ideal";"J"
"2976";"Ideal";"G"
"2977";"Ideal";"G"
"2978";"Ideal";"G"
"2979";"Ideal";"D"
"2980";"Ideal";"G"
"2981";"Premium";"G"
"2982";"Fair";"G"
"2983";"Very Good";"E"
"2984";"Premium";"F"
"2985";"Ideal";"G"
"2986";"Ideal";"G"
"2987";"Very Good";"H"
"2988";"Ideal";"E"
"2989";"Ideal";"E"
"2990";"Ideal";"H"
"2991";"Good";"H"
"2992";"Fair";"J"
"2993";"Very Good";"G"
"2994";"Premium";"G"
"2995";"Good";"I"
"2996";"Good";"G"
"2997";"Good";"I"
"2998";"Good";"G"
"2999";"Very Good";"G"
"3000";"Good";"G"
"3001";"Ideal";"G"
"3002";"Ideal";"E"
"3003";"Ideal";"F"
"3004";"Ideal";"E"
"3005";"Ideal";"E"
"3006";"Ideal";"E"
"3007";"Ideal";"E"
"3008";"Good";"G"
"3009";"Fair";"D"
"3010";"Fair";"G"
"3011";"Very Good";"D"
"3012";"Good";"D"
"3013";"Ideal";"E"
"3014";"Ideal";"D"
"3015";"Ideal";"D"
"3016";"Very Good";"D"
"3017";"Very Good";"E"
"3018";"Good";"G"
"3019";"Ideal";"G"
"3020";"Ideal";"G"
"3021";"Ideal";"G"
"3022";"Very Good";"I"
"3023";"Ideal";"I"
"3024";"Premium";"D"
"3025";"Very Good";"F"
"3026";"Very Good";"E"
"3027";"Ideal";"D"
"3028";"Ideal";"E"
"3029";"Ideal";"H"
"3030";"Very Good";"I"
"3031";"Ideal";"D"
"3032";"Ideal";"D"
"3033";"Very Good";"H"
"3034";"Premium";"H"
"3035";"Good";"J"
"3036";"Ideal";"G"
"3037";"Good";"G"
"3038";"Good";"G"
"3039";"Good";"F"
"3040";"Very Good";"G"
"3041";"Good";"G"
"3042";"Very Good";"G"
"3043";"Ideal";"F"
"3044";"Very Good";"G"
"3045";"Very Good";"G"
"3046";"Very Good";"G"
"3047";"Very Good";"G"
"3048";"Very Good";"G"
"3049";"Very Good";"G"
"3050";"Very Good";"G"
"3051";"Ideal";"G"
"3052";"Ideal";"G"
"3053";"Ideal";"H"
"3054";"Ideal";"G"
"3055";"Premium";"H"
"3056";"Premium";"F"
"3057";"Very Good";"F"
"3058";"Very Good";"F"
"3059";"Very Good";"J"
"3060";"Premium";"F"
"3061";"Good";"F"
"3062";"Ideal";"E"
"3063";"Ideal";"G"
"3064";"Premium";"H"
"3065";"Ideal";"E"
"3066";"Premium";"E"
"3067";"Premium";"G"
"3068";"Premium";"F"
"3069";"Premium";"E"
"3070";"Premium";"D"
"3071";"Good";"D"
"3072";"Premium";"D"
"3073";"Good";"G"
"3074";"Premium";"D"
"3075";"Good";"J"
"3076";"Ideal";"I"
"3077";"Premium";"D"
"3078";"Premium";"E"
"3079";"Good";"D"
"3080";"Premium";"D"
"3081";"Ideal";"J"
"3082";"Ideal";"F"
"3083";"Premium";"H"
"3084";"Very Good";"J"
"3085";"Very Good";"H"
"3086";"Very Good";"E"
"3087";"Ideal";"I"
"3088";"Ideal";"E"
"3089";"Good";"G"
"3090";"Ideal";"D"
"3091";"Premium";"F"
"3092";"Very Good";"E"
"3093";"Good";"F"
"3094";"Good";"F"
"3095";"Ideal";"E"
"3096";"Premium";"G"
"3097";"Ideal";"D"
"3098";"Ideal";"F"
"3099";"Ideal";"G"
"3100";"Ideal";"D"
"3101";"Ideal";"D"
"3102";"Ideal";"D"
"3103";"Ideal";"F"
"3104";"Ideal";"G"
"3105";"Very Good";"F"
"3106";"Ideal";"D"
"3107";"Premium";"E"
"3108";"Very Good";"G"
"3109";"Very Good";"F"
"3110";"Very Good";"E"
"3111";"Ideal";"E"
"3112";"Fair";"G"
"3113";"Very Good";"I"
"3114";"Ideal";"I"
"3115";"Good";"H"
"3116";"Fair";"F"
"3117";"Good";"D"
"3118";"Very Good";"H"
"3119";"Ideal";"H"
"3120";"Ideal";"H"
"3121";"Ideal";"H"
"3122";"Ideal";"H"
"3123";"Ideal";"G"
"3124";"Ideal";"J"
"3125";"Premium";"H"
"3126";"Ideal";"D"
"3127";"Fair";"F"
"3128";"Premium";"H"
"3129";"Ideal";"G"
"3130";"Premium";"G"
"3131";"Premium";"G"
"3132";"Ideal";"E"
"3133";"Ideal";"D"
"3134";"Ideal";"E"
"3135";"Very Good";"G"
"3136";"Ideal";"E"
"3137";"Ideal";"I"
"3138";"Ideal";"I"
"3139";"Ideal";"E"
"3140";"Ideal";"F"
"3141";"Ideal";"E"
"3142";"Ideal";"E"
"3143";"Ideal";"E"
"3144";"Very Good";"F"
"3145";"Very Good";"D"
"3146";"Ideal";"G"
"3147";"Ideal";"H"
"3148";"Ideal";"E"
"3149";"Fair";"E"
"3150";"Good";"E"
"3151";"Ideal";"J"
"3152";"Fair";"G"
"3153";"Very Good";"F"
"3154";"Very Good";"D"
"3155";"Premium";"F"
"3156";"Very Good";"I"
"3157";"Very Good";"I"
"3158";"Very Good";"E"
"3159";"Ideal";"E"
"3160";"Ideal";"H"
"3161";"Very Good";"H"
"3162";"Good";"D"
"3163";"Ideal";"D"
"3164";"Premium";"H"
"3165";"Ideal";"F"
"3166";"Ideal";"D"
"3167";"Ideal";"F"
"3168";"Ideal";"F"
"3169";"Premium";"I"
"3170";"Very Good";"E"
"3171";"Fair";"I"
"3172";"Premium";"D"
"3173";"Very Good";"F"
"3174";"Very Good";"I"
"3175";"Premium";"I"
"3176";"Ideal";"E"
"3177";"Ideal";"G"
"3178";"Very Good";"E"
"3179";"Good";"G"
"3180";"Very Good";"I"
"3181";"Good";"G"
"3182";"Good";"F"
"3183";"Good";"G"
"3184";"Ideal";"F"
"3185";"Good";"I"
"3186";"Ideal";"F"
"3187";"Ideal";"E"
"3188";"Ideal";"G"
"3189";"Ideal";"G"
"3190";"Very Good";"E"
"3191";"Fair";"E"
"3192";"Premium";"F"
"3193";"Ideal";"G"
"3194";"Premium";"F"
"3195";"Ideal";"F"
"3196";"Very Good";"E"
"3197";"Premium";"F"
"3198";"Good";"G"
"3199";"Ideal";"G"
"3200";"Very Good";"I"
"3201";"Ideal";"E"
"3202";"Ideal";"E"
"3203";"Ideal";"D"
"3204";"Premium";"H"
"3205";"Ideal";"D"
"3206";"Ideal";"D"
"3207";"Ideal";"E"
"3208";"Premium";"F"
"3209";"Premium";"F"
"3210";"Premium";"F"
"3211";"Premium";"D"
"3212";"Premium";"F"
"3213";"Ideal";"F"
"3214";"Good";"H"
"3215";"Fair";"I"
"3216";"Premium";"G"
"3217";"Good";"I"
"3218";"Good";"D"
"3219";"Premium";"H"
"3220";"Very Good";"F"
"3221";"Very Good";"G"
"3222";"Good";"G"
"3223";"Very Good";"D"
"3224";"Very Good";"G"
"3225";"Ideal";"F"
"3226";"Ideal";"D"
"3227";"Ideal";"G"
"3228";"Ideal";"G"
"3229";"Ideal";"G"
"3230";"Ideal";"E"
"3231";"Premium";"H"
"3232";"Premium";"H"
"3233";"Premium";"D"
"3234";"Very Good";"E"
"3235";"Very Good";"G"
"3236";"Ideal";"D"
"3237";"Good";"I"
"3238";"Good";"G"
"3239";"Fair";"H"
"3240";"Ideal";"D"
"3241";"Very Good";"F"
"3242";"Good";"F"
"3243";"Ideal";"G"
"3244";"Ideal";"E"
"3245";"Ideal";"H"
"3246";"Ideal";"I"
"3247";"Premium";"G"
"3248";"Ideal";"H"
"3249";"Premium";"E"
"3250";"Very Good";"F"
"3251";"Premium";"F"
"3252";"Ideal";"F"
"3253";"Ideal";"I"
"3254";"Good";"H"
"3255";"Ideal";"D"
"3256";"Good";"D"
"3257";"Premium";"E"
"3258";"Very Good";"E"
"3259";"Very Good";"J"
"3260";"Very Good";"E"
"3261";"Fair";"G"
"3262";"Ideal";"F"
"3263";"Very Good";"J"
"3264";"Ideal";"I"
"3265";"Premium";"E"
"3266";"Ideal";"D"
"3267";"Ideal";"E"
"3268";"Ideal";"E"
"3269";"Premium";"I"
"3270";"Premium";"H"
"3271";"Good";"I"
"3272";"Very Good";"I"
"3273";"Ideal";"E"
"3274";"Premium";"H"
"3275";"Premium";"I"
"3276";"Premium";"F"
"3277";"Very Good";"I"
"3278";"Ideal";"D"
"3279";"Ideal";"F"
"3280";"Ideal";"F"
"3281";"Ideal";"E"
"3282";"Premium";"G"
"3283";"Ideal";"H"
"3284";"Ideal";"G"
"3285";"Good";"F"
"3286";"Ideal";"H"
"3287";"Premium";"H"
"3288";"Good";"F"
"3289";"Premium";"H"
"3290";"Ideal";"H"
"3291";"Premium";"D"
"3292";"Very Good";"E"
"3293";"Very Good";"J"
"3294";"Very Good";"E"
"3295";"Good";"E"
"3296";"Premium";"D"
"3297";"Very Good";"D"
"3298";"Ideal";"F"
"3299";"Very Good";"H"
"3300";"Very Good";"F"
"3301";"Very Good";"F"
"3302";"Very Good";"F"
"3303";"Premium";"F"
"3304";"Good";"D"
"3305";"Very Good";"F"
"3306";"Ideal";"F"
"3307";"Premium";"E"
"3308";"Ideal";"E"
"3309";"Very Good";"E"
"3310";"Good";"G"
"3311";"Ideal";"E"
"3312";"Very Good";"D"
"3313";"Very Good";"D"
"3314";"Ideal";"H"
"3315";"Ideal";"H"
"3316";"Premium";"H"
"3317";"Premium";"F"
"3318";"Ideal";"H"
"3319";"Ideal";"G"
"3320";"Ideal";"D"
"3321";"Very Good";"E"
"3322";"Ideal";"D"
"3323";"Ideal";"E"
"3324";"Very Good";"E"
"3325";"Ideal";"E"
"3326";"Very Good";"D"
"3327";"Very Good";"D"
"3328";"Fair";"H"
"3329";"Premium";"F"
"3330";"Very Good";"E"
"3331";"Good";"F"
"3332";"Premium";"I"
"3333";"Ideal";"E"
"3334";"Ideal";"E"
"3335";"Premium";"G"
"3336";"Ideal";"F"
"3337";"Ideal";"E"
"3338";"Premium";"G"
"3339";"Premium";"G"
"3340";"Premium";"E"
"3341";"Premium";"H"
"3342";"Premium";"I"
"3343";"Good";"D"
"3344";"Very Good";"D"
"3345";"Premium";"J"
"3346";"Ideal";"H"
"3347";"Ideal";"G"
"3348";"Very Good";"I"
"3349";"Very Good";"E"
"3350";"Premium";"E"
"3351";"Premium";"E"
"3352";"Ideal";"E"
"3353";"Good";"G"
"3354";"Ideal";"E"
"3355";"Premium";"E"
"3356";"Very Good";"G"
"3357";"Ideal";"E"
"3358";"Good";"I"
"3359";"Very Good";"H"
"3360";"Ideal";"D"
"3361";"Very Good";"I"
"3362";"Ideal";"G"
"3363";"Very Good";"I"
"3364";"Very Good";"I"
"3365";"Very Good";"I"
"3366";"Very Good";"G"
"3367";"Very Good";"G"
"3368";"Very Good";"E"
"3369";"Very Good";"E"
"3370";"Ideal";"I"
"3371";"Ideal";"I"
"3372";"Ideal";"G"
"3373";"Ideal";"H"
"3374";"Ideal";"H"
"3375";"Ideal";"G"
"3376";"Ideal";"F"
"3377";"Ideal";"H"
"3378";"Very Good";"G"
"3379";"Good";"G"
"3380";"Premium";"I"
"3381";"Ideal";"I"
"3382";"Premium";"J"
"3383";"Very Good";"I"
"3384";"Very Good";"G"
"3385";"Good";"I"
"3386";"Very Good";"G"
"3387";"Premium";"J"
"3388";"Premium";"I"
"3389";"Very Good";"F"
"3390";"Very Good";"I"
"3391";"Very Good";"F"
"3392";"Very Good";"E"
"3393";"Very Good";"E"
"3394";"Very Good";"H"
"3395";"Very Good";"F"
"3396";"Ideal";"I"
"3397";"Ideal";"I"
"3398";"Ideal";"H"
"3399";"Ideal";"F"
"3400";"Very Good";"I"
"3401";"Premium";"I"
"3402";"Premium";"F"
"3403";"Premium";"D"
"3404";"Good";"J"
"3405";"Good";"D"
"3406";"Good";"D"
"3407";"Good";"D"
"3408";"Ideal";"D"
"3409";"Ideal";"F"
"3410";"Ideal";"F"
"3411";"Ideal";"F"
"3412";"Ideal";"F"
"3413";"Ideal";"F"
"3414";"Ideal";"J"
"3415";"Ideal";"F"
"3416";"Premium";"I"
"3417";"Very Good";"D"
"3418";"Good";"H"
"3419";"Very Good";"H"
"3420";"Premium";"H"
"3421";"Fair";"D"
"3422";"Very Good";"I"
"3423";"Ideal";"G"
"3424";"Ideal";"G"
"3425";"Ideal";"G"
"3426";"Ideal";"G"
"3427";"Ideal";"E"
"3428";"Fair";"D"
"3429";"Premium";"H"
"3430";"Ideal";"D"
"3431";"Very Good";"E"
"3432";"Premium";"I"
"3433";"Premium";"G"
"3434";"Ideal";"E"
"3435";"Very Good";"G"
"3436";"Very Good";"G"
"3437";"Premium";"H"
"3438";"Premium";"H"
"3439";"Premium";"H"
"3440";"Very Good";"H"
"3441";"Premium";"H"
"3442";"Fair";"H"
"3443";"Fair";"I"
"3444";"Ideal";"F"
"3445";"Very Good";"H"
"3446";"Premium";"H"
"3447";"Fair";"F"
"3448";"Ideal";"E"
"3449";"Very Good";"G"
"3450";"Very Good";"H"
"3451";"Very Good";"H"
"3452";"Premium";"H"
"3453";"Ideal";"G"
"3454";"Premium";"E"
"3455";"Very Good";"G"
"3456";"Ideal";"G"
"3457";"Ideal";"D"
"3458";"Premium";"D"
"3459";"Ideal";"E"
"3460";"Good";"E"
"3461";"Very Good";"G"
"3462";"Ideal";"I"
"3463";"Ideal";"I"
"3464";"Premium";"J"
"3465";"Very Good";"I"
"3466";"Premium";"G"
"3467";"Ideal";"I"
"3468";"Premium";"E"
"3469";"Premium";"E"
"3470";"Good";"F"
"3471";"Good";"F"
"3472";"Premium";"F"
"3473";"Very Good";"G"
"3474";"Very Good";"H"
"3475";"Premium";"E"
"3476";"Good";"I"
"3477";"Premium";"H"
"3478";"Premium";"H"
"3479";"Very Good";"J"
"3480";"Ideal";"G"
"3481";"Ideal";"D"
"3482";"Ideal";"G"
"3483";"Very Good";"F"
"3484";"Good";"H"
"3485";"Premium";"I"
"3486";"Very Good";"G"
"3487";"Premium";"I"
"3488";"Very Good";"I"
"3489";"Good";"I"
"3490";"Good";"I"
"3491";"Premium";"D"
"3492";"Ideal";"G"
"3493";"Good";"J"
"3494";"Good";"I"
"3495";"Good";"I"
"3496";"Ideal";"F"
"3497";"Ideal";"F"
"3498";"Premium";"F"
"3499";"Good";"E"
"3500";"Premium";"G"
"3501";"Ideal";"F"
"3502";"Premium";"E"
"3503";"Good";"E"
"3504";"Good";"E"
"3505";"Very Good";"F"
"3506";"Ideal";"D"
"3507";"Ideal";"E"
"3508";"Ideal";"G"
"3509";"Premium";"G"
"3510";"Ideal";"E"
"3511";"Fair";"J"
"3512";"Premium";"E"
"3513";"Ideal";"G"
"3514";"Premium";"D"
"3515";"Very Good";"H"
"3516";"Ideal";"F"
"3517";"Ideal";"F"
"3518";"Ideal";"F"
"3519";"Ideal";"E"
"3520";"Very Good";"F"
"3521";"Very Good";"G"
"3522";"Ideal";"F"
"3523";"Premium";"F"
"3524";"Very Good";"D"
"3525";"Ideal";"D"
"3526";"Very Good";"I"
"3527";"Very Good";"I"
"3528";"Premium";"G"
"3529";"Fair";"E"
"3530";"Good";"J"
"3531";"Premium";"G"
"3532";"Good";"D"
"3533";"Very Good";"H"
"3534";"Premium";"F"
"3535";"Ideal";"E"
"3536";"Ideal";"E"
"3537";"Ideal";"E"
"3538";"Premium";"D"
"3539";"Very Good";"D"
"3540";"Ideal";"G"
"3541";"Good";"I"
"3542";"Premium";"I"
"3543";"Ideal";"H"
"3544";"Ideal";"D"
"3545";"Very Good";"G"
"3546";"Ideal";"G"
"3547";"Ideal";"E"
"3548";"Premium";"H"
"3549";"Very Good";"E"
"3550";"Ideal";"H"
"3551";"Very Good";"F"
"3552";"Good";"F"
"3553";"Good";"G"
"3554";"Premium";"J"
"3555";"Good";"E"
"3556";"Very Good";"E"
"3557";"Very Good";"H"
"3558";"Ideal";"H"
"3559";"Ideal";"H"
"3560";"Ideal";"H"
"3561";"Premium";"H"
"3562";"Very Good";"J"
"3563";"Ideal";"J"
"3564";"Good";"F"
"3565";"Fair";"G"
"3566";"Very Good";"E"
"3567";"Very Good";"D"
"3568";"Ideal";"E"
"3569";"Ideal";"D"
"3570";"Ideal";"E"
"3571";"Good";"E"
"3572";"Good";"E"
"3573";"Very Good";"D"
"3574";"Good";"D"
"3575";"Very Good";"F"
"3576";"Very Good";"E"
"3577";"Very Good";"D"
"3578";"Ideal";"H"
"3579";"Ideal";"F"
"3580";"Very Good";"F"
"3581";"Premium";"J"
"3582";"Ideal";"E"
"3583";"Ideal";"F"
"3584";"Ideal";"E"
"3585";"Ideal";"I"
"3586";"Ideal";"F"
"3587";"Good";"E"
"3588";"Good";"J"
"3589";"Fair";"J"
"3590";"Good";"F"
"3591";"Premium";"G"
"3592";"Premium";"H"
"3593";"Ideal";"H"
"3594";"Ideal";"H"
"3595";"Good";"J"
"3596";"Good";"J"
"3597";"Good";"G"
"3598";"Ideal";"H"
"3599";"Good";"D"
"3600";"Premium";"D"
"3601";"Very Good";"G"
"3602";"Ideal";"G"
"3603";"Good";"G"
"3604";"Good";"H"
"3605";"Good";"J"
"3606";"Fair";"J"
"3607";"Very Good";"G"
"3608";"Ideal";"E"
"3609";"Good";"H"
"3610";"Premium";"G"
"3611";"Good";"F"
"3612";"Ideal";"G"
"3613";"Ideal";"F"
"3614";"Good";"D"
"3615";"Ideal";"I"
"3616";"Very Good";"D"
"3617";"Premium";"D"
"3618";"Premium";"D"
"3619";"Very Good";"E"
"3620";"Very Good";"F"
"3621";"Premium";"F"
"3622";"Ideal";"F"
"3623";"Good";"F"
"3624";"Ideal";"E"
"3625";"Ideal";"E"
"3626";"Ideal";"H"
"3627";"Premium";"I"
"3628";"Premium";"I"
"3629";"Ideal";"E"
"3630";"Ideal";"G"
"3631";"Ideal";"G"
"3632";"Ideal";"G"
"3633";"Ideal";"G"
"3634";"Ideal";"G"
"3635";"Ideal";"G"
"3636";"Ideal";"G"
"3637";"Very Good";"D"
"3638";"Ideal";"G"
"3639";"Very Good";"G"
"3640";"Ideal";"E"
"3641";"Ideal";"E"
"3642";"Good";"F"
"3643";"Very Good";"G"
"3644";"Very Good";"H"
"3645";"Very Good";"H"
"3646";"Premium";"F"
"3647";"Fair";"F"
"3648";"Premium";"H"
"3649";"Premium";"H"
"3650";"Very Good";"E"
"3651";"Very Good";"E"
"3652";"Ideal";"I"
"3653";"Ideal";"F"
"3654";"Ideal";"F"
"3655";"Ideal";"D"
"3656";"Ideal";"E"
"3657";"Premium";"D"
"3658";"Very Good";"F"
"3659";"Ideal";"D"
"3660";"Ideal";"D"
"3661";"Ideal";"G"
"3662";"Very Good";"I"
"3663";"Good";"D"
"3664";"Ideal";"D"
"3665";"Fair";"F"
"3666";"Fair";"J"
"3667";"Very Good";"J"
"3668";"Ideal";"F"
"3669";"Very Good";"H"
"3670";"Premium";"F"
"3671";"Premium";"J"
"3672";"Premium";"E"
"3673";"Very Good";"I"
"3674";"Very Good";"G"
"3675";"Premium";"G"
"3676";"Very Good";"G"
"3677";"Ideal";"J"
"3678";"Good";"F"
"3679";"Very Good";"G"
"3680";"Premium";"F"
"3681";"Ideal";"D"
"3682";"Ideal";"F"
"3683";"Ideal";"D"
"3684";"Ideal";"E"
"3685";"Ideal";"H"
"3686";"Very Good";"H"
"3687";"Very Good";"I"
"3688";"Good";"I"
"3689";"Good";"H"
"3690";"Very Good";"H"
"3691";"Very Good";"H"
"3692";"Very Good";"H"
"3693";"Premium";"G"
"3694";"Good";"H"
"3695";"Premium";"E"
"3696";"Ideal";"D"
"3697";"Very Good";"G"
"3698";"Very Good";"I"
"3699";"Very Good";"E"
"3700";"Good";"E"
"3701";"Premium";"E"
"3702";"Good";"E"
"3703";"Ideal";"D"
"3704";"Ideal";"E"
"3705";"Ideal";"E"
"3706";"Premium";"E"
"3707";"Ideal";"E"
"3708";"Premium";"G"
"3709";"Premium";"F"
"3710";"Premium";"E"
"3711";"Ideal";"G"
"3712";"Ideal";"J"
"3713";"Very Good";"H"
"3714";"Very Good";"G"
"3715";"Very Good";"E"
"3716";"Ideal";"E"
"3717";"Ideal";"F"
"3718";"Premium";"H"
"3719";"Good";"F"
"3720";"Ideal";"F"
"3721";"Very Good";"E"
"3722";"Good";"H"
"3723";"Ideal";"I"
"3724";"Good";"I"
"3725";"Ideal";"H"
"3726";"Ideal";"I"
"3727";"Good";"D"
"3728";"Ideal";"H"
"3729";"Good";"E"
"3730";"Very Good";"H"
"3731";"Very Good";"I"
"3732";"Very Good";"I"
"3733";"Ideal";"I"
"3734";"Very Good";"E"
"3735";"Ideal";"J"
"3736";"Ideal";"J"
"3737";"Ideal";"F"
"3738";"Ideal";"F"
"3739";"Ideal";"I"
"3740";"Good";"G"
"3741";"Good";"F"
"3742";"Premium";"E"
"3743";"Ideal";"F"
"3744";"Ideal";"F"
"3745";"Premium";"F"
"3746";"Very Good";"F"
"3747";"Ideal";"F"
"3748";"Ideal";"F"
